philosopher,link
Parmenides,https://en.wikipedia.org/wiki/Parmenides
Plato,https://en.wikipedia.org/wiki/Plato
Aristotle,https://en.wikipedia.org/wiki/Aristotle
Plotinus,https://en.wikipedia.org/wiki/Plotinus
Duns Scotus,https://en.wikipedia.org/wiki/Duns_Scotus
Thomas Aquinas,https://en.wikipedia.org/wiki/Thomas_Aquinas
Francisco Suárez,https://en.wikipedia.org/wiki/Francisco_Su%C3%A1rez
Nicolas Malebranche,https://en.wikipedia.org/wiki/Nicolas_Malebranche
René Descartes,https://en.wikipedia.org/wiki/Ren%C3%A9_Descartes
John Locke,https://en.wikipedia.org/wiki/John_Locke
David Hume,https://en.wikipedia.org/wiki/David_Hume
Thomas Reid,https://en.wikipedia.org/wiki/Thomas_Reid
Immanuel Kant,https://en.wikipedia.org/wiki/Immanuel_Kant
Isaac Newton,https://en.wikipedia.org/wiki/Isaac_Newton
Arthur Schopenhauer,https://en.wikipedia.org/wiki/Arthur_Schopenhauer
Baruch Spinoza,https://en.wikipedia.org/wiki/Baruch_Spinoza
Georg W. F. Hegel,https://en.wikipedia.org/wiki/Georg_Wilhelm_Friedrich_Hegel
George Berkeley,https://en.wikipedia.org/wiki/George_Berkeley
Gottfried Wilhelm Leibniz,https://en.wikipedia.org/wiki/Gottfried_Wilhelm_Leibniz
Christian Wolff,https://en.wikipedia.org/wiki/Christian_Wolff_(philosopher)
Bernard Bolzano,https://en.wikipedia.org/wiki/Bernard_Bolzano
Hermann Lotze,https://en.wikipedia.org/wiki/Hermann_Lotze
Henri Bergson,https://en.wikipedia.org/wiki/Henri_Bergson
Friedrich Nietzsche,https://en.wikipedia.org/wiki/Friedrich_Nietzsche
Charles Sanders Peirce,https://en.wikipedia.org/wiki/Charles_Sanders_Peirce
Joseph Maréchal,https://en.wikipedia.org/wiki/Joseph_Mar%C3%A9chal
Ludwig Wittgenstein,https://en.wikipedia.org/wiki/Ludwig_Wittgenstein
Martin Heidegger,https://en.wikipedia.org/wiki/Martin_Heidegger
Alfred N. Whitehead,https://en.wikipedia.org/wiki/Alfred_North_Whitehead
Bertrand Russell,https://en.wikipedia.org/wiki/Bertrand_Russell
G. E. Moore,https://en.wikipedia.org/wiki/G._E._Moore
Jean-Paul Sartre,https://en.wikipedia.org/wiki/Jean-Paul_Sartre
Gilbert Ryle,https://en.wikipedia.org/wiki/Gilbert_Ryle
Hilary Putnam,https://en.wikipedia.org/wiki/Hilary_Putnam
P. F. Strawson,https://en.wikipedia.org/wiki/P._F._Strawson
R. G. Collingwood,https://en.wikipedia.org/wiki/R._G._Collingwood
Rudolf Carnap,https://en.wikipedia.org/wiki/Rudolf_Carnap
Saul Kripke,https://en.wikipedia.org/wiki/Saul_Kripke
W. V. O. Quine,https://en.wikipedia.org/wiki/Willard_Van_Orman_Quine
G. E. M. Anscombe,https://en.wikipedia.org/wiki/G._E._M._Anscombe
Donald Davidson,https://en.wikipedia.org/wiki/Donald_Davidson_(philosopher)
Michael Dummett,https://en.wikipedia.org/wiki/Michael_Dummett
D. M. Armstrong,https://en.wikipedia.org/wiki/David_Malet_Armstrong
David Lewis,https://en.wikipedia.org/wiki/David_Lewis_(philosopher)
Alvin Plantinga,https://en.wikipedia.org/wiki/Alvin_Plantinga
Héctor-Neri Castañeda,https://en.wikipedia.org/wiki/H%C3%A9ctor-Neri_Casta%C3%B1eda
Peter van Inwagen,https://en.wikipedia.org/wiki/Peter_van_Inwagen
Derek Parfit,https://en.wikipedia.org/wiki/Derek_Parfit
Alexius Meinong,https://en.wikipedia.org/wiki/Alexius_Meinong
Ernst Mally,https://en.wikipedia.org/wiki/Ernst_Mally
Edward N. Zalta,https://en.wikipedia.org/wiki/Edward_N._Zalta
,
